Date,Open,High,Low,Close,Volume
1994-12-07,6709.47,6786.89,6709.47,6777.68,86426500
1994-12-08,6777.68,6826.72,6765.45,6775.38,82288800
1994-12-09,6775.38,6775.38,6702.82,6763.01,60603600
1994-12-10,6763.01,6839.64,6709.2,6722.51,80191600
1994-12-12,6722.51,6763.5,6710.21,6722.4,60237900
1994-12-13,6722.4,6775.36,6685.22,6697.57,53444600
1994-12-14,6697.57,6713.82,6674.32,6681.9,49094700
1994-12-15,6681.9,6824.69,6681.9,6823.13,83478500
1994-12-16,6823.13,6895.6,6790.11,6811.99,113280000
1994-12-17,6811.99,6937.33,6811.99,6937.33,81631500
1994-12-19,6937.33,7055.3,6937.33,7055.3,118466000
1994-12-20,7055.3,7081.31,6921.96,6925.28,104899000
1994-12-21,6925.28,7021.84,6925.28,7010.6,102730000
1994-12-22,7010.6,7086.23,6965.68,6965.68,114860000
1994-12-23,6965.68,7002.58,6857.95,6857.95,85549000
1994-12-24,6857.95,6997.05,6857.95,6994.11,72566100
1994-12-27,6994.11,7037.46,6946.52,6982.91,117632000
1994-12-28,6982.91,7010.5,6932.86,6947.83,82138700
1994-12-29,6947.83,7056.88,6947.83,7027.43,88897400
1994-12-30,7027.43,7127.1,7027.43,7111.1,100404000
1994-12-31,7111.1,7180.34,7106.81,7124.66,1942000
1995-01-05,7129.94,7144.7,7040.72,7051.49,80604100
1995-01-06,7086.88,7086.88,6884.61,6919.31,77374100
1995-01-07,6948.27,6948.27,6855.55,6915.4,53570800
1995-01-09,6948.73,6959.74,6869.08,6869.08,49485300
1995-01-10,6817.85,6838.95,6706.67,6756.88,64845800
1995-01-11,6736.11,6791.05,6720.07,6777.24,42353900
1995-01-12,6749.62,6749.62,6571.93,6609.5,55901100
1995-01-13,6673.26,6685.93,6582.05,6582.4,42784100
1995-01-14,6565.52,6565.52,6450.79,6511.3,42393900
1995-01-16,6556.98,6556.98,6473.06,6536.65,41464400
1995-01-17,6564.25,6570.76,6487.73,6515.79,44315300
1995-01-18,6558.74,6638.41,6546.99,6623.52,61270500
1995-01-19,6635.62,6672.63,6598.02,6598.02,68773600
1995-01-20,6572.85,6572.85,6370.49,6372.01,66958400
1995-01-21,6344.29,6432.2,6278.54,6431.99,43438300
1995-01-23,6446.9,6451.42,6295.04,6295.04,47156900
1995-01-24,6180.25,6242.48,6167.79,6167.79,53410000
1995-01-25,6277.07,6322.24,6260.41,6299.62,47980900
1995-01-26,6293.33,6348.07,6270.68,6307.85,1188000
1995-02-04,6444.53,6455.3,6328.38,6328.38,34178100
1995-02-06,6298.01,6417.28,6298.01,6417.28,37289200
1995-02-07,6474.84,6554.32,6474.84,6531.82,59692800
1995-02-08,6538.92,6549.19,6491.04,6526.74,48720300
1995-02-09,6578.69,6601.47,6530,6543.42,62138800
1995-02-10,6574.78,6574.78,6519.57,6554.78,56997400
1995-02-11,6592.13,6598.84,6548.97,6565.24,51766500
1995-02-13,6578.07,6578.07,6498.21,6498.21,50821800
1995-02-14,6505.53,6525.82,6478.31,6504.59,40499000
1995-02-15,6530.01,6581.77,6528.71,6576.25,56163800
1995-02-16,6642.03,6668.63,6617.05,6646.55,77525200
1995-02-17,6691.36,6691.36,6635.72,6646.25,66171600
1995-02-18,6696.29,6696.29,6636.52,6650.29,51039400
1995-02-20,6688.01,6689.18,6604.76,6612.97,55450900
1995-02-21,6625.32,6638.47,6594.15,6633.03,40908900
1995-02-22,6652.82,6652.82,6595.86,6603.88,46919700
1995-02-23,6583.49,6614.61,6552.95,6552.95,35633800
1995-02-24,6598.34,6640.57,6582.79,6596.07,38873500
1995-02-25,6615.64,6625.51,6588.46,6591.36,29079600
1995-02-27,6404.55,6449.46,6284.75,6388.57,66597500
1995-02-28,6436.46,6509.33,6408.83,6509.33,1236000
1995-03-01,6436.26,6446.95,6331.17,6337.83,52190000
1995-03-02,6436.47,6474.76,6419,6450.39,37722500
1995-03-03,6478.98,6516.83,6478.98,6516.83,36170000
1995-03-04,6528.32,6530.74,6497.24,6530.74,28774800
1995-03-06,6529.34,6540.13,6474.94,6474.94,26748500
1995-03-07,6479.35,6496.21,6437.46,6480.76,30429500
1995-03-08,6478.59,6511.29,6426.07,6426.07,33125600
1995-03-09,6432.3,6466.9,6388.36,6388.36,28207000
1995-03-10,6435.94,6460,6428.81,6453.52,29312900
1995-03-11,6495.5,6509.89,6480.47,6480.98,32778400
